District,No of Sheds,Gasoline SD,Gasoline Mean,Gasoline CV_%,Diesel SD,Diesel Mean,Diesel CV_%
Ampara,54,117.5,"1,806",6.5,"1,079.70","3,015.70",35.8
Anuradhapura,47,182.7,"3,360",5.4,"2,199.00","6,160.80",35.7
Badulla,31,114.5,"1,808",6.3,"1,343.00","3,495.20",38.4
Batticaloa,39,114.3,"1,323",8.6,660,"1,756.20",37.6
Colombo,151,795.9,"18,869",4.2,"11,438.10","31,976.70",35.8
Galle,66,185.4,"3,813",4.9,"1,317.20","5,317.30",24.8
Gampaha,156,527.9,"12,217",4.3,"4,745.90","18,082.70",26.2
Hambantota,37,112.1,"1,896",5.9,1689.8,"4,082.90",41.4
Jaffna,59,96.5,"1,634",5.9,825.7,"2,671.10",30.9
Kalutara,56,216.7,"4,471",4.8,"1,421.80","6,150.70",23.1
Kandy,66,180,"4,351",4.1,"2,236.20","7,147.40",31.3
Kegalle,31,133.7,"2,258",5.9,921.5,"3,378.40",27.3
Kilinochchi,8,20.3,309,6.5,573.4,"1,031.80",55.6
Kurunagela,111,302.6,"6,892",4.4,"2,683.50","9,992.40",26.9
Mannar,11,22.7,252,9,317.3,643.5,49.3
Matale,46,80.5,"1,578",5.1,930.2,"2,668.10",34.9
Matara,29,169.6,"2,382",7.1,"2,130.80","5,016.60",42.5
Monaragala,25,106.2,"1,284",8.3,903,"2,319.60",38.9
Mulativu,12,25.3,326,7.8,688.1,"1,206.40",57
Nuwaraeliya,23,70.6,"1,010",7,"1,174.70","2,601.50",45.2
Polonnaruwa,28,403.6,"1,369",29.5,"1,259.50","2,931.20",43
Puttalam,72,122.1,"3,023",4,"1,617.00","5,124.40",31.6
Ratnapura,45,169.1,"3,201",5.3,"1,706.40","5,256.50",32.5
Trincomalee,26,417.8,663,63,"1,169.20","2,432.40",48.1
Vavuniya,17,36.6,499,7.3,"1,156.20","2,060.10",56.1
