District,DISTRICT,Available Land extent (ha),,,,,,,,,
,,Scrub lands,Barren lands,Open forest,Sand,Homestead/ Gardens,Sparsely used crop lands,Grass lands,Palmyrah,Coconut,
,,SCRBA,BRRNA,FRSOA,SANDA,HOMSA,SPRSA,GRSLA,PLMRA,CCNTA,Total
Ampara,AMPARA,"40,531","22,550","103,705","1,285",-,-,-,-,-,"168,071"
Anuradhapura,ANURADHAPURA,"117,222","8,154","70,543",-,961,"1,143",-,-,3,"198,026"
Badulla,BADULLA,"126,647","3,742","127,656",-,-,-,-,-,-,"258,045"
Batticaloa,BATTICALOA,"58,251","16,856","24,325",892,-,-,-,-,-,"100,324"
Colombo,COLOMBO,"1,066",162,861,191,-,-,-,-,-,"2,279"
Galle,GALLE,"6,454",181,"5,941",252,-,-,-,-,-,"12,828"
Gampaha,GAMPAHA,"5,121",746,"1,570",375,-,-,-,-,-,"7,811"
Hambantota,HAMBANTOTA,"53,217","2,222","37,456","1,555",-,-,-,-,-,"94,450"
Jaffna,JAFFNA,"9,928","7,750","1,096","5,920","34,778","3,313","2,449",701,874,"66,808"
Kalutara,KALUTARA,"16,468",151,"14,080",239,-,-,-,-,-,"30,938"
Kandy,KANDY,"22,448","1,122","87,944",-,-,-,-,-,-,"111,515"
Kegalle,KEGALLE,"12,522",469,"14,235",-,-,-,-,-,-,"27,226"
Kilinochchi,KILINOCHCHI,"13,960","7,806","8,508","2,530","17,516","5,742",21,469,"1,705","58,256"
Kurunegala,KURUNEGALA,"38,396","1,027","20,206",1,-,-,-,-,-,"59,630"
Mannar,MANNAR,"32,532","9,391","17,940",465,"8,715","4,523",227,737,849,"75,379"
Matale,MATALE,"31,047","2,930","112,991",-,-,-,-,-,-,"146,968"
Matara,MATARA,"2,174",108,"1,660",137,-,-,-,-,-,"4,078"
Moneragala,MONERAGALA,"202,953","1,844","145,499",-,-,-,-,-,-,"350,296"
Mullaitivu,MULLAITIVU,"27,621","5,902","29,933",642,"16,716","6,505",402,-,"1,029","88,749"
Nuwara Eliya,NUWARA ELIYA,"33,582",555,"52,807",-,-,-,-,-,-,"86,944"
Polonnaruwa,POLONNARUWA,"60,743","10,996","57,998",-,-,-,-,-,-,"129,737"
Puttalam,PUTTALAM,"42,660","5,650","18,174","2,332",-,-,-,-,-,"68,817"
Ratnapura,RATNAPURA,"62,244","1,883","67,576",-,-,-,-,-,-,"131,703"
Trincomalee,TRINCOMALEE,"46,942","18,139","62,628",563,-,4,-,-,-,"128,275"
Vavuniya,VAVUNIYA,"23,978","2,427","13,487",-,"21,268","12,934","1,044",-,108,"75,247"
Total,,"1,088,708","132,762","1,098,817","17,378","99,955","34,164","4,142","1,907","4,568","2,482,401"
